level,model,sku_id,description,observations,mae,rmse,wmape
sku,naive_lag_1,16033,UNKNOWN,28,0.0000,0.0000,0.0000
sku,moving_average_7,16033,UNKNOWN,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16033,UNKNOWN,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16033,UNKNOWN,28,21.4125,25.5504,0.0000
sku,naive_lag_1,16045,POPART WOODEN PENCILS ASST,28,71.4286,113.3893,1.8182
sku,moving_average_7,16045,POPART WOODEN PENCILS ASST,28,55.6122,79.4019,1.4156
sku,seasonal_naive_lag_7,16045,POPART WOODEN PENCILS ASST,28,57.1429,96.3624,1.4545
sku,weekday_seasonal_mean,16045,POPART WOODEN PENCILS ASST,28,42.2872,75.9438,1.0764
sku,naive_lag_1,16046,TEATIME PEN CASE & PENS,28,0.0714,0.2673,2.0000
sku,moving_average_7,16046,TEATIME PEN CASE & PENS,28,0.0714,0.2020,2.0000
sku,seasonal_naive_lag_7,16046,TEATIME PEN CASE & PENS,28,0.0714,0.2673,2.0000
sku,weekday_seasonal_mean,16046,TEATIME PEN CASE & PENS,28,14.2070,34.7562,397.7956
sku,naive_lag_1,16048,TEATIME ROUND PENCIL SHARPENER,28,5.4286,11.0551,1.9000
sku,moving_average_7,16048,TEATIME ROUND PENCIL SHARPENER,28,4.9388,8.2841,1.7286
sku,seasonal_naive_lag_7,16048,TEATIME ROUND PENCIL SHARPENER,28,5.2500,11.0534,1.8375
sku,weekday_seasonal_mean,16048,TEATIME ROUND PENCIL SHARPENER,28,6.0003,8.6417,2.1001
sku,naive_lag_1,16052,TEATIME PUSH DOWN RUBBER,28,0.0000,0.0000,0.0000
sku,moving_average_7,16052,TEATIME PUSH DOWN RUBBER,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16052,TEATIME PUSH DOWN RUBBER,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16052,TEATIME PUSH DOWN RUBBER,28,2.1536,3.3947,0.0000
sku,naive_lag_1,16156L,WRAP CAROUSEL,28,3.5714,9.4491,2.0000
sku,moving_average_7,16156L,WRAP CAROUSEL,28,3.5714,7.1429,2.0000
sku,seasonal_naive_lag_7,16156L,WRAP CAROUSEL,28,3.5714,9.4491,2.0000
sku,weekday_seasonal_mean,16156L,WRAP CAROUSEL,28,2.8046,6.3692,1.5706
sku,naive_lag_1,16156N,"WRAP, FRIENDSHIP ON GREEN",28,0.0000,0.0000,0.0000
sku,moving_average_7,16156N,"WRAP, FRIENDSHIP ON GREEN",28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16156N,"WRAP, FRIENDSHIP ON GREEN",28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16156N,"WRAP, FRIENDSHIP ON GREEN",28,2.2090,2.5078,0.0000
sku,naive_lag_1,16156S,WRAP PINK FAIRY CAKES,28,22.3214,29.5048,1.7857
sku,moving_average_7,16156S,WRAP PINK FAIRY CAKES,28,16.3265,20.1805,1.3061
sku,seasonal_naive_lag_7,16156S,WRAP PINK FAIRY CAKES,28,16.0714,26.7261,1.2857
sku,weekday_seasonal_mean,16156S,WRAP PINK FAIRY CAKES,28,17.3256,22.4805,1.3860
sku,naive_lag_1,16161G,WRAP BAD HAIR DAY,28,4.4643,10.5644,2.5000
sku,moving_average_7,16161G,WRAP BAD HAIR DAY,28,4.9745,7.7837,2.7857
sku,seasonal_naive_lag_7,16161G,WRAP BAD HAIR DAY,28,5.3571,11.5728,3.0000
sku,weekday_seasonal_mean,16161G,WRAP BAD HAIR DAY,28,2.7514,6.2548,1.5408
sku,naive_lag_1,16161M,WRAP PINK FLOCK,28,0.0000,0.0000,0.0000
sku,moving_average_7,16161M,WRAP PINK FLOCK,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16161M,WRAP PINK FLOCK,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16161M,WRAP PINK FLOCK,28,1.5094,1.7320,0.0000
sku,naive_lag_1,16161P,WRAP ENGLISH ROSE,28,16.0714,25.0000,1.2000
sku,moving_average_7,16161P,WRAP ENGLISH ROSE,28,18.2398,23.8340,1.3619
sku,seasonal_naive_lag_7,16161P,WRAP ENGLISH ROSE,28,17.8571,27.5487,1.3333
sku,weekday_seasonal_mean,16161P,WRAP ENGLISH ROSE,28,18.3595,22.4645,1.3708
sku,naive_lag_1,16161U,WRAP SUKI AND FRIENDS,28,12.5000,24.0906,1.4000
sku,moving_average_7,16161U,WRAP SUKI AND FRIENDS,28,14.0306,18.9704,1.5714
sku,seasonal_naive_lag_7,16161U,WRAP SUKI AND FRIENDS,28,16.9643,26.3052,1.9000
sku,weekday_seasonal_mean,16161U,WRAP SUKI AND FRIENDS,28,14.1996,18.1083,1.5904
sku,naive_lag_1,16168M,FUNKY MONKEY GIFT BAG MEDIUM,28,2.5000,6.9693,1.9444
