sku_id,description,category,selected_model,observations,actual_units,forecast_units,bias_units,mae,rmse,wmape
22621,TRADITIONAL KNITTING NANCY,UNMAPPED,lightgbm,14,440.0000,764.3216,324.3216,32.5146,42.5849,1.0346
21498,RED RETROSPOT WRAP,UNMAPPED,xgboost,14,525.0000,535.9303,10.9303,32.4935,39.2595,0.8665
85099F,JUMBO BAG STRAWBERRY,UNMAPPED,gru,14,479.0000,120.1016,-358.8984,32.4551,65.8481,0.9486
23090,VINTAGE GLASS T-LIGHT HOLDER,UNMAPPED,weekday_seasonal_mean,14,470.0000,29.8434,-440.1566,32.2269,56.9765,0.9599
22029,SPACEBOY BIRTHDAY CARD,UNMAPPED,seasonal_naive_lag_7,14,429.0000,225.0000,-204.0000,31.8571,65.0308,1.0396
85099C,JUMBO BAG BAROQUE BLACK WHITE,UNMAPPED,weekday_seasonal_mean,14,588.0000,574.8168,-13.1832,31.8413,46.9678,0.7581
22666,RECIPE BOX PANTRY YELLOW DESIGN,UNMAPPED,weekday_seasonal_mean,14,623.0000,192.2292,-430.7708,31.6793,66.4473,0.7119
22561,WOODEN SCHOOL COLOURING SET,UNMAPPED,xgboost,14,343.0000,497.3957,154.3957,31.4986,37.8865,1.2857
84949,SILVER HANGING T-LIGHT HOLDER,UNMAPPED,weekday_seasonal_mean,14,499.0000,216.2092,-282.7908,31.4673,49.7638,0.8829
22597,MUSICAL ZINC HEART DECORATION,UNMAPPED,lightgbm,14,503.0000,705.6900,202.6900,31.3731,38.4089,0.8732
15036,ASSORTED COLOURS SILK FAN,UNMAPPED,seasonal_naive_lag_7,14,157.0000,380.0000,223.0000,31.2143,48.9716,2.7834
22993,SET OF 4 PANTRY JELLY MOULDS,UNMAPPED,seasonal_naive_lag_7,14,851.0000,852.0000,1.0000,31.2143,52.4738,0.5135
22816,CARD MOTORBIKE SANTA,UNMAPPED,xgboost,14,444.0000,833.1567,389.1567,30.9359,40.6114,0.9755
23302,KNEELING MAT HOUSEWORK DESIGN,UNMAPPED,weekday_seasonal_mean,14,442.0000,17.7386,-424.2614,30.7734,79.3261,0.9747
16169E,WRAP 50'S CHRISTMAS,UNMAPPED,lstm,14,526.0000,185.0753,-340.9247,30.3283,41.9365,0.8072
22064,PINK DOUGHNUT TRINKET POT,UNMAPPED,weekday_seasonal_mean,14,447.0000,118.5704,-328.4296,30.2215,56.8250,0.9465
23320,GIANT 50'S CHRISTMAS CRACKER,UNMAPPED,lstm,14,501.0000,156.4273,-344.5727,30.1965,40.2349,0.8438
22489,PACK OF 12 TRADITIONAL CRAYONS,UNMAPPED,weekday_seasonal_mean,14,556.0000,326.6542,-229.3458,30.0028,46.2067,0.7555
22382,LUNCH BAG SPACEBOY DESIGN,UNMAPPED,xgboost,14,235.0000,648.8513,413.8513,30.0024,35.7178,1.7874
23193,BUFFALO BILL TREASURE BOOK BOX,UNMAPPED,weekday_seasonal_mean,14,411.0000,28.7106,-382.2894,29.8762,104.2977,1.0177
16045,POPART WOODEN PENCILS ASST,UNMAPPED,lstm,14,400.0000,28.0451,-371.9549,29.8623,64.7590,1.0452
22112,CHOCOLATE HOT WATER BOTTLE,UNMAPPED,seasonal_naive_lag_7,14,811.0000,673.0000,-138.0000,29.8571,46.7470,0.5154
22075,6 RIBBONS ELEGANT CHRISTMAS,UNMAPPED,lightgbm,14,576.0000,264.9783,-311.0217,29.8399,68.7029,0.7253
84970S,HANGING HEART ZINC T-LIGHT HOLDER,UNMAPPED,lightgbm,14,427.0000,368.6824,-58.3176,29.5903,47.6529,0.9702
22189,CREAM HEART CARD HOLDER,UNMAPPED,lstm,14,423.0000,47.1015,-375.8985,29.3721,90.5828,0.9721
22741,FUNKY DIVA PEN,UNMAPPED,seasonal_naive_lag_7,14,425.0000,318.0000,-107.0000,29.3571,45.9930,0.9671
23374,RED SPOT PAPER GIFT BAG,UNMAPPED,lightgbm,14,382.0000,286.6682,-95.3318,29.3560,52.0706,1.0759
22465,HANGING METAL STAR LANTERN,UNMAPPED,lightgbm,14,467.0000,245.9578,-221.0422,29.2001,57.4476,0.8754
