scope,model_family,model,sku_id,description,observations,mae,rmse,wmape
sku,machine_learning,lightgbm,16011,ANIMAL STICKERS,28,18.3659,26.4636,1.7794
sku,deep_learning,lstm,16011,ANIMAL STICKERS,28,11.2559,24.2532,1.0905
sku,statistical,moving_average_7,16011,ANIMAL STICKERS,28,15.9592,23.1226,1.5462
sku,statistical,naive_lag_1,16011,ANIMAL STICKERS,28,15.5000,25.7252,1.5017
sku,statistical,seasonal_naive_lag_7,16011,ANIMAL STICKERS,28,18.0714,30.5392,1.7509
sku,statistical,weekday_seasonal_mean,16011,ANIMAL STICKERS,28,11.9133,22.7446,1.1542
sku,machine_learning,xgboost,16011,ANIMAL STICKERS,28,17.6054,25.2361,1.7057
sku,deep_learning,gru,16012,FOOD/DRINK SPONGE STICKERS,28,2.3869,6.3094,1.3640
sku,machine_learning,lightgbm,16012,FOOD/DRINK SPONGE STICKERS,28,11.2460,17.1054,6.4263
sku,deep_learning,lstm,16012,FOOD/DRINK SPONGE STICKERS,28,2.3489,6.3178,1.3422
sku,statistical,moving_average_7,16012,FOOD/DRINK SPONGE STICKERS,28,5.5612,8.7614,3.1778
sku,statistical,naive_lag_1,16012,FOOD/DRINK SPONGE STICKERS,28,3.4286,8.9801,1.9592
sku,statistical,seasonal_naive_lag_7,16012,FOOD/DRINK SPONGE STICKERS,28,5.1786,12.8299,2.9592
sku,statistical,weekday_seasonal_mean,16012,FOOD/DRINK SPONGE STICKERS,28,4.9386,6.6555,2.8221
sku,machine_learning,xgboost,16012,FOOD/DRINK SPONGE STICKERS,28,12.6973,23.1611,7.2556
sku,deep_learning,gru,16014,SMALL CHINESE STYLE SCISSOR,28,23.5402,95.7769,1.0219
sku,machine_learning,lightgbm,16014,SMALL CHINESE STYLE SCISSOR,28,57.8940,104.2377,2.5132
sku,deep_learning,lstm,16014,SMALL CHINESE STYLE SCISSOR,28,23.4800,95.7960,1.0193
sku,statistical,moving_average_7,16014,SMALL CHINESE STYLE SCISSOR,28,38.7347,100.9828,1.6815
sku,statistical,naive_lag_1,16014,SMALL CHINESE STYLE SCISSOR,28,43.2143,134.9939,1.8760
sku,statistical,seasonal_naive_lag_7,16014,SMALL CHINESE STYLE SCISSOR,28,44.3214,135.1685,1.9240
sku,statistical,weekday_seasonal_mean,16014,SMALL CHINESE STYLE SCISSOR,28,47.6071,91.8115,2.0667
sku,machine_learning,xgboost,16014,SMALL CHINESE STYLE SCISSOR,28,58.2197,105.7577,2.5274
sku,deep_learning,gru,16015,MEDIUM CHINESE STYLE SCISSOR,28,0.6673,1.8523,1.8684
sku,machine_learning,lightgbm,16015,MEDIUM CHINESE STYLE SCISSOR,28,11.8050,16.6339,33.0540
sku,deep_learning,lstm,16015,MEDIUM CHINESE STYLE SCISSOR,28,0.6218,1.8525,1.7410
sku,statistical,moving_average_7,16015,MEDIUM CHINESE STYLE SCISSOR,28,1.1735,2.0022,3.2857
sku,statistical,naive_lag_1,16015,MEDIUM CHINESE STYLE SCISSOR,28,1.0714,3.2733,3.0000
sku,statistical,seasonal_naive_lag_7,16015,MEDIUM CHINESE STYLE SCISSOR,28,0.7143,2.6726,2.0000
sku,statistical,weekday_seasonal_mean,16015,MEDIUM CHINESE STYLE SCISSOR,28,2.5245,3.3642,7.0687
sku,machine_learning,xgboost,16015,MEDIUM CHINESE STYLE SCISSOR,28,26.2004,28.5760,73.3611
sku,deep_learning,gru,16016,LARGE CHINESE STYLE SCISSOR,28,7.2029,15.5882,1.0615
sku,machine_learning,lightgbm,16016,LARGE CHINESE STYLE SCISSOR,28,9.0427,14.7946,1.3326
sku,deep_learning,lstm,16016,LARGE CHINESE STYLE SCISSOR,28,7.1714,15.6204,1.0568
sku,statistical,moving_average_7,16016,LARGE CHINESE STYLE SCISSOR,28,9.2857,15.7050,1.3684
sku,statistical,naive_lag_1,16016,LARGE CHINESE STYLE SCISSOR,28,10.3571,18.8035,1.5263
sku,statistical,seasonal_naive_lag_7,16016,LARGE CHINESE STYLE SCISSOR,28,10.0000,20.0000,1.4737
sku,statistical,weekday_seasonal_mean,16016,LARGE CHINESE STYLE SCISSOR,28,7.3339,14.7029,1.0808
sku,machine_learning,xgboost,16016,LARGE CHINESE STYLE SCISSOR,28,22.9107,23.8091,3.3763
sku,deep_learning,gru,16020C,CLEAR STATIONERY BOX SET,28,0.0875,0.0875,0.0000
sku,machine_learning,lightgbm,16020C,CLEAR STATIONERY BOX SET,28,0.3158,0.3291,0.0000
sku,deep_learning,lstm,16020C,CLEAR STATIONERY BOX SET,28,0.0757,0.0757,0.0000
sku,statistical,moving_average_7,16020C,CLEAR STATIONERY BOX SET,28,0.0000,0.0000,0.0000
sku,statistical,naive_lag_1,16020C,CLEAR STATIONERY BOX SET,28,0.0000,0.0000,0.0000
sku,statistical,seasonal_naive_lag_7,16020C,CLEAR STATIONERY BOX SET,28,0.0000,0.0000,0.0000
sku,statistical,weekday_seasonal_mean,16020C,CLEAR STATIONERY BOX SET,28,0.2246,0.2636,0.0000
sku,machine_learning,xgboost,16020C,CLEAR STATIONERY BOX SET,28,0.4915,0.4959,0.0000
sku,deep_learning,gru,16033,UNKNOWN,28,0.0875,0.0875,0.0000
sku,machine_learning,lightgbm,16033,UNKNOWN,28,0.3158,0.3291,0.0000
sku,deep_learning,lstm,16033,UNKNOWN,28,0.0757,0.0757,0.0000
sku,statistical,moving_average_7,16033,UNKNOWN,28,0.0000,0.0000,0.0000
sku,statistical,naive_lag_1,16033,UNKNOWN,28,0.0000,0.0000,0.0000
sku,statistical,seasonal_naive_lag_7,16033,UNKNOWN,28,0.0000,0.0000,0.0000
sku,statistical,weekday_seasonal_mean,16033,UNKNOWN,28,21.4125,25.5504,0.0000
sku,machine_learning,xgboost,16033,UNKNOWN,28,0.5182,0.5224,0.0000
sku,deep_learning,gru,16045,POPART WOODEN PENCILS ASST,28,40.6408,81.5036,1.0345
sku,machine_learning,lightgbm,16045,POPART WOODEN PENCILS ASST,28,54.2190,77.4123,1.3801
sku,deep_learning,lstm,16045,POPART WOODEN PENCILS ASST,28,40.3544,81.6724,1.0272
sku,statistical,moving_average_7,16045,POPART WOODEN PENCILS ASST,28,55.6122,79.4019,1.4156
sku,statistical,naive_lag_1,16045,POPART WOODEN PENCILS ASST,28,71.4286,113.3893,1.8182
sku,statistical,seasonal_naive_lag_7,16045,POPART WOODEN PENCILS ASST,28,57.1429,96.3624,1.4545
sku,statistical,weekday_seasonal_mean,16045,POPART WOODEN PENCILS ASST,28,42.2872,75.9438,1.0764
sku,machine_learning,xgboost,16045,POPART WOODEN PENCILS ASST,28,53.6580,73.7175,1.3658
sku,deep_learning,gru,16046,TEATIME PEN CASE & PENS,28,0.1335,0.2016,3.7369
sku,machine_learning,lightgbm,16046,TEATIME PEN CASE & PENS,28,0.4775,0.5193,13.3697
sku,deep_learning,lstm,16046,TEATIME PEN CASE & PENS,28,0.1184,0.1958,3.3139
sku,statistical,moving_average_7,16046,TEATIME PEN CASE & PENS,28,0.0714,0.2020,2.0003
sku,statistical,naive_lag_1,16046,TEATIME PEN CASE & PENS,28,0.0714,0.2673,2.0000
sku,statistical,seasonal_naive_lag_7,16046,TEATIME PEN CASE & PENS,28,0.0714,0.2673,2.0000
sku,statistical,weekday_seasonal_mean,16046,TEATIME PEN CASE & PENS,28,14.2070,34.7562,397.7956
sku,machine_learning,xgboost,16046,TEATIME PEN CASE & PENS,28,0.8418,0.8736,23.5703
sku,deep_learning,gru,16048,TEATIME ROUND PENCIL SHARPENER,28,3.1435,7.7664,1.1002
sku,machine_learning,lightgbm,16048,TEATIME ROUND PENCIL SHARPENER,28,6.8790,8.3104,2.4076
sku,deep_learning,lstm,16048,TEATIME ROUND PENCIL SHARPENER,28,3.1238,7.7813,1.0933
sku,statistical,moving_average_7,16048,TEATIME ROUND PENCIL SHARPENER,28,4.9388,8.2841,1.7286
